YEAR,STATE,COUNTY,PARTY,VOTES
2024,CA,Yuba County,Republican,18491
2024,CA,Yuba County,Democratic,10725
2024,CO,Adams County,Republican,103024
2024,CO,Adams County,Democratic,124056
2024,CO,Alamosa County,Republican,4057
2024,CO,Alamosa County,Democratic,3244
2024,CO,Arapahoe County,Republican,125311
2024,CO,Arapahoe County,Democratic,190725
2024,CO,Archuleta County,Republican,5218
2024,CO,Archuleta County,Democratic,3904
2024,CO,Baca County,Republican,1686
2024,CO,Baca County,Democratic,275
2024,CO,Bent County,Republican,1496
2024,CO,Bent County,Democratic,645
2024,CO,Boulder County,Republican,40758
2024,CO,Boulder County,Democratic,150149
2024,CO,Broomfield County,Republican,16071
2024,CO,Broomfield County,Democratic,29426
2024,CO,Chaffee County,Republican,6034
2024,CO,Chaffee County,Democratic,7992
2024,CO,Cheyenne County,Republican,930
2024,CO,Cheyenne County,Democratic,108
2024,CO,Clear Creek County,Republican,2452
2024,CO,Clear Creek County,Democratic,3464
2024,CO,Conejos County,Republican,2358
2024,CO,Conejos County,Democratic,1627
2024,CO,Costilla County,Republican,850
2024,CO,Costilla County,Democratic,1155
2024,CO,Crowley County,Republican,1231
2024,CO,Crowley County,Democratic,422
2024,CO,Custer County,Republican,2583
2024,CO,Custer County,Democratic,1188
2024,CO,Delta County,Republican,12948
2024,CO,Delta County,Democratic,6030
2024,CO,Denver County,Republican,74765
2024,CO,Denver County,Democratic,278634
2024,CO,Dolores County,Republican,1076
2024,CO,Dolores County,Democratic,325
2024,CO,Douglas County,Republican,127451
2024,CO,Douglas County,Democratic,110408
2024,CO,Eagle County,Republican,10148
2024,CO,Eagle County,Democratic,16943
2024,CO,El Paso County,Republican,203933
2024,CO,El Paso County,Democratic,166597
2024,CO,Elbert County,Republican,15209
2024,CO,Elbert County,Democratic,4768
2024,CO,Fremont County,Republican,17313
2024,CO,Fremont County,Democratic,7526
2024,CO,Garfield County,Republican,14493
2024,CO,Garfield County,Democratic,15128
2024,CO,Gilpin County,Republican,1729
2024,CO,Gilpin County,Democratic,2254
2024,CO,Grand County,Republican,4822
2024,CO,Grand County,Democratic,4743
2024,CO,Gunnison County,Republican,3689
2024,CO,Gunnison County,Democratic,6887
2024,CO,Hinsdale County,Republican,332
2024,CO,Hinsdale County,Democratic,257
2024,CO,Huerfano County,Republican,2346
2024,CO,Huerfano County,Democratic,1965
2024,CO,Jackson County,Republican,634
2024,CO,Jackson County,Democratic,173
2024,CO,Jefferson County,Republican,140505
2024,CO,Jefferson County,Democratic,210875
2024,CO,Kiowa County,Republican,744
2024,CO,Kiowa County,Democratic,102
2024,CO,Kit Carson County,Republican,3083
2024,CO,Kit Carson County,Democratic,556
